month;GPR;GPRHC_BEL;GPRHC_BRA;GPRHC_CHL;GPRHC_CHN;GPRHC_COL;GPRHC_DEU;GPRHC_DNK;GPRHC_EGY;GPRHC_ESP;GPRHC_FIN;GPRHC_FRA;GPRHC_IDN;GPRHC_IND;GPRHC_ITA;GPRHC_JPN;GPRHC_KOR;GPRHC_MEX;GPRHC_MYS;GPRHC_NLD;GPRHC_PER;GPRHC_PHL;GPRHC_POL;GPRHC_PRT;GPRHC_SAU;GPRHC_SWE;GPRHC_THA;GPRHC_TUR;GPRHC_TWN;GPRHC_USA;GPRHC_VNM;GPRHC_ZAF
01/01/1985;102,17;0,21;0,05;0,03;0,19;0,05;0,36;0,01;0,10;0,07;0,10;0,34;0,01;0,18;0,12;0,14;0,11;0,07;0,00;0,14;0,05;0,09;0,08;0,09;0,05;0,06;0,26;0,03;0,04;2,94;0,41;0,22
01/02/1985;117,10;0,25;0,03;0,05;0,21;0,09;0,52;0,04;0,11;0,16;0,02;0,61;0,05;0,17;0,22;0,22;0,17;0,14;0,04;0,09;0,10;0,10;0,13;0,14;0,11;0,04;0,20;0,03;0,00;3,34;0,34;0,11
01/03/1985;124,78;0,11;0,02;0,08;0,13;0,05;0,30;0,01;0,16;0,12;0,04;0,32;0,00;0,26;0,16;0,17;0,05;0,12;0,02;0,08;0,05;0,03;0,09;0,02;0,11;0,01;0,18;0,08;0,00;3,43;0,31;0,13
01/04/1985;87,93;0,06;0,04;0,04;0,20;0,09;0,42;0,00;0,12;0,09;0,01;0,23;0,02;0,16;0,14;0,17;0,06;0,14;0,00;0,07;0,03;0,03;0,10;0,01;0,11;0,04;0,05;0,08;0,02;2,40;0,21;0,09
01/05/1985;103,26;0,12;0,10;0,07;0,14;0,07;0,48;0,02;0,06;0,18;0,04;0,43;0,02;0,26;0,18;0,21;0,09;0,16;0,02;0,07;0,06;0,04;0,11;0,06;0,11;0,07;0,05;0,03;0,01;2,75;0,20;0,20
01/06/1985;148,78;0,05;0,04;0,08;0,10;0,05;0,44;0,00;0,18;0,17;0,13;0,78;0,01;0,56;0,48;0,19;0,09;0,14;0,01;0,06;0,02;0,06;0,11;0,05;0,10;0,05;0,01;0,06;0,01;4,52;0,14;0,28
01/07/1985;133,91;0,07;0,04;0,02;0,19;0,02;0,51;0,06;0,13;0,20;0,06;0,59;0,02;0,52;0,35;0,24;0,20;0,06;0,05;0,07;0,04;0,09;0,09;0,07;0,09;0,07;0,07;0,12;0,02;3,80;0,21;0,37
01/08/1985;82,78;0,04;0,05;0,05;0,17;0,04;0,13;0,00;0,08;0,12;0,02;0,33;0,01;0,30;0,05;0,15;0,04;0,06;0,01;0,04;0,05;0,07;0,04;0,05;0,04;0,04;0,07;0,06;0,02;2,18;0,14;0,44
01/09/1985;102,43;0,04;0,07;0,01;0,15;0,04;0,30;0,09;0,08;0,10;0,03;0,45;0,02;0,30;0,16;0,23;0,10;0,16;0,02;0,09;0,06;0,03;0,08;0,09;0,09;0,04;0,09;0,04;0,04;2,88;0,15;0,60
01/10/1985;105,99;0,11;0,04;0,02;0,16;0,00;0,38;0,02;0,76;0,10;0,03;0,69;0,00;0,18;0,82;0,16;0,07;0,07;0,01;0,12;0,02;0,11;0,09;0,09;0,10;0,07;0,04;0,06;0,02;3,23;0,16;0,27
01/11/1985;94,85;0,12;0,03;0,02;0,09;0,10;0,34;0,02;0,41;0,07;0,12;0,59;0,01;0,11;0,35;0,12;0,09;0,07;0,00;0,10;0,03;0,07;0,11;0,04;0,09;0,03;0,02;0,07;0,00;2,93;0,10;0,21
01/12/1985;96,42;0,17;0,03;0,03;0,22;0,14;0,36;0,01;0,34;0,18;0,01;0,40;0,00;0,18;0,58;0,13;0,06;0,16;0,02;0,07;0,05;0,04;0,10;0,04;0,07;0,06;0,03;0,08;0,02;2,71;0,09;0,30
01/01/1986;135,36;0,19;0,03;0,03;0,10;0,04;0,52;0,06;0,39;0,31;0,02;0,72;0,01;0,31;1,46;0,18;0,09;0,10;0,01;0,19;0,03;0,06;0,08;0,09;0,10;0,09;0,04;0,08;0,00;3,55;0,14;0,42
01/02/1986;98,75;0,04;0,02;0,04;0,10;0,05;0,27;0,01;0,14;0,15;0,03;0,57;0,05;0,20;0,23;0,23;0,10;0,05;0,03;0,02;0,11;0,43;0,05;0,06;0,13;0,03;0,03;0,04;0,02;2,66;0,12;0,11
01/03/1986;98,68;0,05;0,07;0,02;0,08;0,10;0,28;0,02;0,18;0,16;0,02;0,53;0,00;0,27;0,51;0,13;0,07;0,10;0,00;0,04;0,07;0,30;0,07;0,08;0,14;0,08;0,06;0,14;0,00;2,77;0,21;0,14
01/04/1986;148,31;0,16;0,03;0,07;0,15;0,10;1,60;0,10;0,52;0,40;0,04;1,43;0,09;0,38;1,30;0,44;0,17;0,15;0,04;0,21;0,08;0,31;0,11;0,10;0,33;0,12;0,10;0,47;0,01;4,76;0,33;0,20
01/05/1986;117,39;0,07;0,03;0,04;0,09;0,14;0,63;0,06;0,19;0,13;0,02;0,58;0,06;0,20;0,47;0,56;0,10;0,18;0,05;0,14;0,04;0,08;0,08;0,05;0,17;0,08;0,08;0,15;0,03;3,15;0,08;0,30
01/06/1986;96,29;0,02;0,03;0,01;0,09;0,07;0,37;0,03;0,05;0,11;0,03;0,35;0,00;0,22;0,20;0,17;0,07;0,14;0,00;0,03;0,14;0,10;0,13;0,03;0,10;0,04;0,03;0,09;0,01;2,51;0,07;0,41
01/07/1986;94,70;0,08;0,01;0,11;0,08;0,09;0,36;0,04;0,05;0,14;0,03;0,44;0,03;0,24;0,19;0,14;0,08;0,12;0,04;0,09;0,06;0,16;0,10;0,10;0,04;0,02;0,04;0,07;0,00;2,65;0,07;0,60
01/08/1986;103,35;0,12;0,02;0,05;0,15;0,06;0,38;0,03;0,25;0,14;0,09;0,40;0,03;0,37;0,18;0,26;0,09;0,16;0,01;0,08;0,03;0,11;0,06;0,07;0,06;0,16;0,04;0,07;0,01;2,82;0,08;0,64
01/09/1986;117,11;0,10;0,10;0,08;0,10;0,02;0,50;0,04;0,22;0,18;0,10;1,05;0,08;0,25;0,40;0,23;0,07;0,10;0,02;0,11;0,07;0,20;0,20;0,05;0,08;0,21;0,03;0,29;0,03;3,27;0,12;0,49
01/10/1986;96,79;0,12;0,02;0,02;0,22;0,03;0,39;0,03;0,10;0,12;0,04;0,58;0,01;0,22;0,18;0,18;0,09;0,10;0,01;0,02;0,06;0,17;0,14;0,10;0,06;0,07;0,04;0,07;0,01;3,09;0,10;0,38
01/11/1986;109,77;0,07;0,05;0,03;0,20;0,03;0,43;0,09;0,12;0,11;0,12;0,70;0,02;0,25;0,25;0,31;0,19;0,05;0,02;0,07;0,04;0,32;0,14;0,08;0,19;0,07;0,03;0,14;0,05;3,21;0,07;0,26
01/12/1986;89,75;0,16;0,11;0,03;0,13;0,01;0,31;0,03;0,09;0,15;0,02;0,57;0,01;0,33;0,19;0,15;0,09;0,06;0,00;0,06;0,03;0,10;0,06;0,11;0,12;0,09;0,03;0,09;0,01;2,66;0,12;0,30
01/01/1987;96,94;0,03;0,00;0,03;0,07;0,01;0,31;0,01;0,10;0,09;0,01;0,37;0,00;0,36;0,17;0,13;0,06;0,03;0,00;0,05;0,04;0,21;0,07;0,06;0,18;0,01;0,04;0,06;0,02;2,71;0,07;0,20
